                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.45903,                0.67829,                0.94021,                0.82375,                0.94597,                0.96558,                0.85704,                0.55266,                0.55294,                  1.001,             4.0899e-05,             4.0899e-05,             4.0899e-05
                     35,                0.48111,                0.63356,                0.94551,                0.81152,                0.95019,                0.95733,                0.84989,                0.56112,                0.58812,                 1.0119,             3.8562e-05,             3.8562e-05,             3.8562e-05
                     36,                0.47796,                0.62443,                0.94062,                0.84285,                 0.9576,                0.96649,                0.85853,                0.55522,                0.55539,                 1.0021,             3.6226e-05,             3.6226e-05,             3.6226e-05
                     37,                0.47365,                0.59568,                0.94159,                0.83665,                0.95713,                0.96075,                0.85478,                0.56667,                0.54346,                 1.0055,              3.389e-05,              3.389e-05,              3.389e-05
                     38,                 0.4829,                0.60723,                0.94256,                0.79317,                0.94323,                 0.9573,                0.85479,                0.55612,                0.56421,                 1.0037,             3.1553e-05,             3.1553e-05,             3.1553e-05
                     39,                0.47577,                0.62165,                 0.9434,                0.81895,                0.95081,                0.96212,                0.85818,                0.54575,                0.53823,                0.99386,             2.9217e-05,             2.9217e-05,             2.9217e-05
                     40,                0.47182,                0.60353,                0.94334,                0.82077,                0.96185,                0.96492,                0.86056,                 0.5473,                0.52638,                0.99483,              2.688e-05,              2.688e-05,              2.688e-05
                     41,                0.51877,                 1.3578,                 1.0002,                0.80125,                0.92719,                0.94691,                0.84375,                0.56738,                0.67303,                 1.0117,             2.4544e-05,             2.4544e-05,             2.4544e-05
                     42,                0.48569,                0.82369,                0.97354,                0.81133,                0.95002,                   0.96,                0.84646,                 0.5857,                0.63001,                 1.0228,             2.2208e-05,             2.2208e-05,             2.2208e-05
                     43,                0.50967,                0.86888,                 1.0131,                0.87141,                 0.9562,                0.98018,                0.86855,                0.57443,                0.58451,                 1.0152,             1.9871e-05,             1.9871e-05,             1.9871e-05
                     44,                0.48658,                0.72195,                0.97312,                 0.8986,                0.97742,                 0.9802,                 0.8717,                0.56717,                0.55049,                 1.0096,             1.7535e-05,             1.7535e-05,             1.7535e-05
                     45,                0.47608,                0.73088,                0.95767,                0.93372,                0.97515,                0.98018,                0.87167,                0.56119,                0.50047,                 1.0037,             1.5198e-05,             1.5198e-05,             1.5198e-05
                     46,                0.47158,                0.72386,                0.95623,                0.94728,                0.97091,                0.98089,                0.87468,                0.55616,                0.48144,                0.99812,             1.2862e-05,             1.2862e-05,             1.2862e-05
                     47,                0.45856,                0.67217,                0.96422,                0.95134,                0.97321,                0.98153,                  0.874,                0.55256,                0.46168,                0.99815,             1.0526e-05,             1.0526e-05,             1.0526e-05
                     48,                0.46299,                 0.6802,                0.96567,                0.95523,                0.97222,                0.98209,                0.87581,                0.55105,                0.45386,                0.99801,             8.1892e-06,             8.1892e-06,             8.1892e-06
                     49,                0.46991,                0.65309,                0.94526,                0.95951,                0.97825,                0.98406,                0.87707,                0.55207,                0.45331,                0.99811,             5.8528e-06,             5.8528e-06,             5.8528e-06
                     50,                0.45298,                0.66843,                0.95163,                0.96279,                0.97858,                0.98411,                0.87746,                0.55408,                0.45205,                0.99911,             3.5164e-06,             3.5164e-06,             3.5164e-06
