                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.38708,                0.64684,                0.93041,                0.88955,                0.44686,                0.59658,                0.51935,                0.82062,                 1.9065,                 1.1698,             8.0618e-05,             8.0618e-05,             8.0618e-05
                     34,                0.38466,                  0.625,                0.92231,                0.77664,                0.54864,                0.60606,                 0.5261,                0.88848,                 1.8783,                 1.2026,             7.9449e-05,             7.9449e-05,             7.9449e-05
                     35,                0.38519,                0.61822,                0.92931,                0.78278,                0.52331,                0.59332,                0.50731,                0.84344,                 2.1304,                 1.1805,             7.8281e-05,             7.8281e-05,             7.8281e-05
                     36,                0.38444,                0.60227,                0.93046,                0.83654,                0.52556,                0.61109,                0.52968,                0.81081,                  1.819,                 1.1639,             7.7113e-05,             7.7113e-05,             7.7113e-05
                     37,                0.38344,                0.61064,                0.92522,                0.84544,                 0.5367,                0.62276,                0.53828,                0.79762,                 1.8337,                 1.1463,             7.5945e-05,             7.5945e-05,             7.5945e-05
                     38,                0.37617,                0.58766,                0.92414,                 0.8778,                0.53026,                0.62935,                0.55264,                0.81251,                 1.7477,                 1.1483,             7.4777e-05,             7.4777e-05,             7.4777e-05
                     39,                0.36776,                0.57989,                0.91977,                0.78041,                0.59716,                0.63443,                0.54421,                0.80626,                 1.8011,                 1.1489,             7.3608e-05,             7.3608e-05,             7.3608e-05
                     40,                0.35936,                0.57328,                0.91579,                0.86957,                0.56426,                0.64595,                0.55929,                0.81217,                 1.6907,                 1.1451,              7.244e-05,              7.244e-05,              7.244e-05
                     41,                0.35966,                0.56287,                0.91605,                0.86766,                0.55299,                0.61193,                0.52567,                0.82683,                 1.7743,                 1.1352,             7.1272e-05,             7.1272e-05,             7.1272e-05
                     42,                0.36748,                0.56225,                0.92016,                0.84489,                0.54006,                0.63553,                0.54705,                0.83041,                 1.7003,                 1.1515,             7.0104e-05,             7.0104e-05,             7.0104e-05
                     43,                0.35788,                0.58995,                0.91972,                0.82439,                0.51965,                0.62487,                0.54555,                0.81479,                 1.7546,                 1.1515,             6.8936e-05,             6.8936e-05,             6.8936e-05
                     44,                0.35747,                0.54038,                0.91272,                0.85644,                 0.4936,                 0.5807,                 0.4992,                0.83533,                 1.7877,                 1.1649,             6.7767e-05,             6.7767e-05,             6.7767e-05
                     45,                0.35948,                 0.5729,                0.91886,                0.86572,                0.53568,                0.63192,                0.55072,                0.79795,                 1.6029,                 1.1463,             6.6599e-05,             6.6599e-05,             6.6599e-05
                     46,                0.35608,                0.52988,                0.91671,                 0.8334,                0.49457,                0.57457,                0.48873,                0.84137,                 1.7953,                 1.1571,             6.5431e-05,             6.5431e-05,             6.5431e-05
                     47,                0.34977,                0.54481,                0.91013,                0.84019,                0.51746,                0.61769,                0.53736,                0.82299,                 1.6395,                 1.1404,             6.4263e-05,             6.4263e-05,             6.4263e-05
                     48,                0.35089,                0.55752,                0.91122,                0.86067,                 0.5346,                0.64506,                0.55834,                  0.816,                 1.6342,                 1.1406,             6.3095e-05,             6.3095e-05,             6.3095e-05
                     49,                0.35424,                0.52781,                0.91503,                0.77762,                0.56994,                0.63444,                0.53969,                0.82497,                 1.6522,                 1.1547,             6.1926e-05,             6.1926e-05,             6.1926e-05
                     50,                0.34601,                0.53335,                0.90665,                0.88997,                0.54255,                0.67172,                 0.5769,                0.80786,                 1.5408,                 1.1291,             6.0758e-05,             6.0758e-05,             6.0758e-05
                     51,                0.34588,                0.52662,                0.91195,                0.82406,                0.58593,                0.65141,                0.55995,                0.83592,                 1.6148,                 1.1544,              5.959e-05,              5.959e-05,              5.959e-05
                     52,                0.33482,                0.50547,                0.90881,                0.88712,                0.56626,                0.66918,                0.57778,                0.83178,                 1.5532,                 1.1658,             5.8422e-05,             5.8422e-05,             5.8422e-05
                     53,                0.33958,                0.50157,                0.90658,                 0.8951,                0.55664,                0.65451,                0.56229,                0.82295,                 1.5886,                 1.1492,             5.7254e-05,             5.7254e-05,             5.7254e-05
                     54,                0.34025,                0.50549,                0.90498,                0.88293,                0.54519,                0.63667,                0.53877,                0.85639,                 1.6245,                 1.1622,             5.6085e-05,             5.6085e-05,             5.6085e-05
                     55,                 0.3343,                0.49724,                0.90585,                0.78885,                0.64818,                0.70504,                0.60281,                0.81619,                 1.5082,                 1.1398,             5.4917e-05,             5.4917e-05,             5.4917e-05
                     56,                0.33215,                 0.4929,                 0.9101,                0.81425,                0.61681,                0.69605,                  0.595,                0.82436,                 1.5095,                 1.1549,             5.3749e-05,             5.3749e-05,             5.3749e-05
                     57,                0.32826,                0.50077,                0.90835,                0.61812,                0.66642,                0.69772,                0.59264,                0.81584,                  1.502,                 1.1605,             5.2581e-05,             5.2581e-05,             5.2581e-05
                     58,                0.33526,                0.49911,                0.90361,                0.84121,                0.56876,                0.68837,                0.57767,                0.86725,                 1.5749,                 1.1887,             5.1413e-05,             5.1413e-05,             5.1413e-05
                     59,                0.33003,                0.48701,                0.89863,                0.75956,                0.64132,                0.68911,                0.58685,                0.81185,                 1.5222,                 1.1385,             5.0244e-05,             5.0244e-05,             5.0244e-05
                     60,                0.31857,                0.47638,                0.90295,                0.62759,                0.68972,                0.70912,                0.61028,                0.84792,                 1.4969,                 1.1624,             4.9076e-05,             4.9076e-05,             4.9076e-05
                     61,                0.32063,                  0.471,                0.89633,                0.73873,                0.67859,                0.74767,                0.64995,                0.78622,                 1.5249,                 1.1284,             4.7908e-05,             4.7908e-05,             4.7908e-05
                     62,                0.32422,                0.47665,                0.90062,                0.84656,                0.57351,                0.66411,                0.58386,                0.78127,                 1.6251,                 1.1327,              4.674e-05,              4.674e-05,              4.674e-05
                     63,                0.32391,                0.46362,                0.90051,                0.85388,                0.57906,                0.70952,                 0.6234,                0.78527,                 1.5285,                 1.1334,             4.5572e-05,             4.5572e-05,             4.5572e-05
                     64,                0.32136,                0.46305,                0.89964,                0.88766,                0.59978,                0.72615,                 0.6218,                0.81552,                 1.4001,                 1.1505,             4.4403e-05,             4.4403e-05,             4.4403e-05
                     65,                 0.3209,                 0.4696,                0.90342,                0.77327,                0.64684,                0.72514,                0.62442,                0.79991,                 1.4131,                 1.1386,             4.3235e-05,             4.3235e-05,             4.3235e-05
                     66,                0.32506,                0.47787,                0.90046,                0.77977,                0.65615,                0.74387,                0.63625,                 0.8139,                 1.3588,                 1.1423,             4.2067e-05,             4.2067e-05,             4.2067e-05
                     67,                0.32024,                0.47083,                 0.9026,                0.59132,                0.74782,                0.74811,                0.64071,                 0.7951,                  1.382,                 1.1256,             4.0899e-05,             4.0899e-05,             4.0899e-05
                     68,                0.31868,                0.46335,                0.90338,                0.66549,                0.74104,                0.77199,                 0.6642,                0.77624,                 1.2892,                 1.1105,             3.9731e-05,             3.9731e-05,             3.9731e-05
                     69,                0.31073,                0.44926,                0.89703,                0.62808,                 0.7404,                  0.753,                0.64433,                0.78728,                 1.3354,                 1.1104,             3.8562e-05,             3.8562e-05,             3.8562e-05
                     70,                0.31026,                 0.4403,                0.89714,                 0.6637,                0.71751,                0.74187,                0.63256,                0.80081,                 1.3689,                 1.1222,             3.7394e-05,             3.7394e-05,             3.7394e-05
                     71,                 0.3114,                0.45407,                0.90271,                0.65722,                0.67032,                0.68839,                0.59165,                0.79246,                 1.4826,                 1.1167,             3.6226e-05,             3.6226e-05,             3.6226e-05
                     72,                0.30745,                0.43852,                0.89816,                0.75644,                0.67435,                0.73903,                0.64205,                0.78269,                 1.3073,                 1.0959,             3.5058e-05,             3.5058e-05,             3.5058e-05
                     73,                0.30294,                0.43523,                0.89771,                0.66204,                0.73484,                0.74306,                0.64179,                0.77543,                 1.3622,                 1.0964,              3.389e-05,              3.389e-05,              3.389e-05
                     74,                0.30293,                0.43605,                0.89803,                0.65149,                0.73487,                 0.7326,                0.63502,                0.77588,                 1.3317,                 1.0982,             3.2721e-05,             3.2721e-05,             3.2721e-05
                     75,                0.29823,                0.43128,                0.89609,                0.65761,                0.71624,                0.74422,                0.65331,                0.74955,                 1.3154,                 1.0812,             3.1553e-05,             3.1553e-05,             3.1553e-05
                     76,                0.30504,                0.45041,                0.89474,                0.66522,                0.74341,                0.75412,                0.66052,                0.75421,                 1.3033,                 1.0869,             3.0385e-05,             3.0385e-05,             3.0385e-05
                     77,                0.30699,                0.45239,                0.89941,                0.73372,                0.69978,                0.76001,                0.66033,                0.78458,                 1.3024,                 1.1093,             2.9217e-05,             2.9217e-05,             2.9217e-05
                     78,                0.30461,                0.44495,                0.89634,                 0.7155,                0.76202,                0.77141,                0.66687,                0.76653,                 1.2777,                    1.1,             2.8049e-05,             2.8049e-05,             2.8049e-05
                     79,                0.30417,                0.44978,                0.89719,                0.71195,                0.73723,                 0.7611,                0.64957,                 0.8065,                 1.2428,                  1.125,              2.688e-05,              2.688e-05,              2.688e-05
                     80,                0.30519,                 0.4409,                 0.8959,                0.71125,                0.74155,                0.77037,                0.66154,                0.78882,                   1.24,                 1.1193,             2.5712e-05,             2.5712e-05,             2.5712e-05
                     81,                0.29974,                  0.421,                0.89418,                0.68687,                0.74541,                0.74935,                 0.6448,                0.79126,                   1.26,                 1.1196,             2.4544e-05,             2.4544e-05,             2.4544e-05
                     82,                0.29979,                0.44247,                0.90309,                0.65643,                0.77371,                0.75158,                0.64273,                0.78259,                 1.3462,                 1.1122,             2.3376e-05,             2.3376e-05,             2.3376e-05
                     83,                0.29068,                 0.4181,                0.89301,                0.73099,                0.71002,                0.78309,                  0.673,                0.76793,                 1.2316,                 1.0874,             2.2208e-05,             2.2208e-05,             2.2208e-05
                     84,                0.29909,                0.41919,                0.89403,                0.71982,                0.74707,                0.78629,                0.67036,                0.77235,                 1.2757,                 1.0937,             2.1039e-05,             2.1039e-05,             2.1039e-05
                     85,                0.29508,                 0.4313,                0.89568,                0.79743,                 0.6996,                 0.7923,                0.67331,                0.78324,                 1.2245,                 1.1078,             1.9871e-05,             1.9871e-05,             1.9871e-05
                     86,                0.29009,                0.42447,                0.89746,                0.82446,                0.67937,                0.78418,                0.67722,                0.76035,                  1.263,                 1.0912,             1.8703e-05,             1.8703e-05,             1.8703e-05
                     87,                0.29892,                0.42923,                0.89024,                0.83792,                0.68906,                0.78957,                0.68161,                0.77246,                 1.2395,                 1.0984,             1.7535e-05,             1.7535e-05,             1.7535e-05
                     88,                0.29321,                0.41996,                0.89296,                0.83122,                0.66988,                 0.7682,                0.66045,                0.78592,                 1.2597,                 1.1014,             1.6367e-05,             1.6367e-05,             1.6367e-05
                     89,                0.29065,                0.41547,                0.89185,                0.67625,                0.76024,                0.77369,                0.66805,                 0.7771,                 1.2476,                 1.1012,             1.5198e-05,             1.5198e-05,             1.5198e-05
                     90,                0.29434,                0.42721,                0.89311,                0.74532,                0.72588,                0.76947,                0.65971,                0.78336,                 1.2343,                 1.1084,              1.403e-05,              1.403e-05,              1.403e-05
                     91,                0.75779,                 2.5581,                 1.1329,                0.69904,                0.61867,                0.66029,                0.54978,                0.84386,                 1.6718,                 1.1318,             1.2862e-05,             1.2862e-05,             1.2862e-05
                     92,                0.69817,                 1.7664,                 1.1036,                0.62394,                0.68066,                0.68908,                0.58119,                0.87038,                 1.5371,                 1.1439,             1.1694e-05,             1.1694e-05,             1.1694e-05
                     93,                0.65647,                 1.4501,                 1.0903,                 0.6679,                0.69092,                0.73229,                0.61948,                0.83723,                 1.4413,                 1.1114,             1.0526e-05,             1.0526e-05,             1.0526e-05
                     94,                0.64869,                 1.3362,                 1.0828,                0.60888,                  0.728,                0.72072,                0.60779,                  0.852,                 1.4325,                 1.1223,             9.3574e-06,             9.3574e-06,             9.3574e-06
                     95,                0.61963,                 1.2696,                 1.0651,                0.68728,                0.76402,                 0.7981,                0.67911,                0.82863,                 1.2724,                 1.1037,             8.1892e-06,             8.1892e-06,             8.1892e-06
                     96,                0.62426,                 1.2745,                 1.0596,                0.66551,                0.81224,                0.81654,                0.69647,                0.80765,                 1.2333,                  1.094,              7.021e-06,              7.021e-06,              7.021e-06
                     97,                0.62091,                 1.2271,                 1.0687,                0.64681,                0.81372,                0.80764,                0.69441,                0.79553,                 1.2538,                 1.0879,             5.8528e-06,             5.8528e-06,             5.8528e-06
                     98,                0.61929,                 1.2078,                 1.0618,                0.67204,                0.81785,                0.82303,                0.70962,                0.78436,                 1.2063,                 1.0865,             4.6846e-06,             4.6846e-06,             4.6846e-06
                     99,                0.60716,                 1.1641,                 1.0593,                0.67466,                0.83046,                0.83149,                0.71395,                0.78126,                 1.1997,                 1.0736,             3.5164e-06,             3.5164e-06,             3.5164e-06
                    100,                0.60123,                 1.1913,                 1.0532,                0.67069,                0.83472,                0.83689,                0.71787,                0.78872,                 1.1822,                 1.0845,             2.3482e-06,             2.3482e-06,             2.3482e-06
